source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,phot_variable_flag,target_id,target_ra,target_dec,target_separation (deg)
1236250127917190272,222.48808334648714,17.291468208339214,1.6302938990192535,0.10975923,-17.65985612520838,0.12487082,-3.743248270280398,0.10911349,17.719517,0.11457634,0.05954933,0.055027008,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,4.1643545894924385E-5
1236250123621985024,222.49020669474749,17.29144151312523,0.42549372453645457,0.23024832,-7.33704942218302,0.259152,1.4564712155455442,0.2295909,18.777185,0.8945484,0.3686924,0.525856,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.0019879961931509437
1236250123621987072,222.487283267455,17.295550731500565,1.1122857490796698,0.14853583,10.989217505582788,0.18112405,-33.20560011691942,0.14787218,18.215778,1.4736385,0.70450974,0.7691288,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.004148763222251053
1236250162276928896,222.49344693188894,17.29839386985004,0.7730808218803484,0.76364195,-1.3867591106187256,0.97662544,-14.909957919106805,0.7474642,20.20711,2.2553902,1.0424328,1.2129574,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.008579839379561286
1236250157981727744,222.49923210462498,17.300081859651108,0.22977615026566864,0.44836208,-15.514285616128877,0.51893926,10.394732531615709,0.42452937,19.739258,2.134964,1.186388,0.948576,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.01365451304268115
1236250089262248320,222.50199449279563,17.295344580288525,0.728652188357624,0.5269985,-0.20419445067037723,0.6961081,-7.171330595881725,0.53510296,20.148388,1.9721241,0.89759254,1.0745316,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.013794748261000859
1236250024837974656,222.47663493438336,17.274601333569223,3.799312814504092,0.11864379,4.407838369554062,0.13583799,-59.72829447507749,0.105503134,17.609455,2.4681587,1.2403736,1.2277851,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.020131493022921568
1236249956118497152,222.4782175561243,17.27123483524173,3.3800069986551984,0.017552549,-30.197977670860908,0.019408386,-7.418670913261621,0.016286781,9.504268,0.51251984,0.18570614,0.3268137,-35.663296,7.4347343,VARIABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.022346912982914146
1236273556963556224,222.51568478473965,17.30007154817235,1.0975261006611885,0.72051907,-15.494737580092586,0.84094197,18.35057819667472,0.7287767,20.2254,2.4963017,1.2610149,1.2352867,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.027680517053194225
1236249990478236160,222.46969329676293,17.26855729486295,1.1281343393553145,0.37959316,-15.160174658726506,0.45127463,-11.681451861921053,0.3556371,19.474255,2.3031445,1.1190338,1.1841106,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.028900312538168584
1236249883106303872,222.5188156246878,17.28684980206569,,,,,,,20.925264,1.4182816,0.14455414,1.2737274,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.02966756192844172
1236249986185424768,222.46211284356949,17.273252903369592,,,,,,,20.944813,3.9418125,2.4644756,1.4773369,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.030808472083620624
1236274415957028480,222.5023751459828,17.32251765360938,0.7823017371350093,0.17036745,-3.525932509932624,0.17345957,-29.825940499223364,0.16551876,18.341677,1.5721836,0.7323227,0.8398609,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.033887998881855716
1236250948255716352,222.45703295245903,17.311210206356204,5.961455995890401,0.09737668,-11.687648426512327,0.1072159,-54.459744443773864,0.09512599,17.541313,2.8819485,1.6564331,1.2255154,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.03564369842736726
1236250948258083712,222.45305440689012,17.30865326584509,,,,,,,20.87087,-0.12227821,-1.2873745,1.1650963,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.037630854997849586
1236273355100324736,222.52911754811876,17.292216510990276,0.13854529850968866,0.01532936,-9.721527241572602,0.015695592,-7.762419563470894,0.013393567,13.060725,1.4010763,0.6367769,0.7642994,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.03914673040105293
1236273350805604224,222.52839553003906,17.29892641920309,0.3555961181053658,1.3108693,-4.191360891632357,1.3775961,-2.1223455965795384,1.3089021,20.493982,0.8820553,0.30996513,0.57209015,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.03916404339406062
1236249715600326912,222.48750766079766,17.251932923680034,0.7483036526237583,0.3661268,-1.3454092163481657,0.44364044,-7.647890712371168,0.3402904,19.696356,1.9136753,1.041584,0.8720913,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.03955202522474344
1236250810817138304,222.44673156590488,17.28632032997962,1.224033058212802,1.4509015,-21.22571657127007,2.0093553,-1.6887951164393373,1.2885685,20.669224,1.6121349,0.46318054,1.1489544,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.03985865296110901
1236273350805117824,222.52952212634716,17.284757604444973,0.8315871094065271,0.80624026,-11.195657282448389,1.1686294,-14.060375787635806,0.8846667,20.442553,1.5515423,0.6636486,0.8878937,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.04009456704828963
1236249715599964032,222.4870498131479,17.250136998922034,1.2145262257752558,0.5434795,-18.536496224057807,0.68174934,1.4594036998368296,0.49765953,20.128202,1.9080505,0.9031811,1.0048695,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.041356303104491315
1236274415957034368,222.50129272979706,17.331146635258932,0.22146677207292953,0.07951651,-9.194851529435539,0.077974066,2.01922072210866,0.07524866,17.04632,0.8499985,0.35699463,0.49300385,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.04161050850644639
1236249711305104128,222.48601602842237,17.249785443604257,1.1310717347423855,0.4697997,3.516550956099029,0.51257503,0.5151698129894229,0.4191219,19.0241,2.4383984,1.1618862,1.2765121,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.041743719185981146
1236250364140143360,222.44809279783672,17.272019339445933,1.0295659122545833,0.60117155,-9.04187356656352,0.85121447,-5.656078513209199,0.604685,20.305899,1.2558899,0.43143463,0.82445526,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.04289390438528745
1236249715600326528,222.48593835684477,17.24708031061638,0.13154947851092325,0.019952236,0.8713121402813382,0.020996552,-9.413327344347021,0.0183829,14.2166815,1.0230865,0.42178535,0.6013012,-197.031,6.750187,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.04444931703226928
1236249608225894912,222.4510210899653,17.262131109379204,0.07552191661063579,0.20963067,-7.2818477987694905,0.22344203,-1.9467276250991137,0.1828734,18.698812,0.67417526,0.20452118,0.46965408,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.04600719809600791
1236273389460063232,222.53575367709684,17.298527391205944,1.1174585762022635,0.01437006,5.8575537634719606,0.014294399,-13.945085812030362,0.013501693,10.13842,1.1081924,0.4697733,0.63841915,38.883293,0.18951164,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.046017978027521264
1236273595618493952,222.53424942457613,17.305882377877477,0.2375371505716259,0.09515505,-2.0954197456392123,0.10467593,-4.7432524324092284,0.09015122,17.49021,0.91688156,0.38169098,0.5351906,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.04633322167398645
1236249676945363584,222.50228057689787,17.24564486017882,0.21855185500369811,0.40284497,-17.277578302054472,0.45116258,-2.402030052399481,0.36175868,19.706272,1.3745766,0.59321594,0.7813606,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.04778738011983361
1236250815111959552,222.4377720966188,17.287651841351504,0.26405457566780527,0.43989018,-0.302451714703675,0.55542815,0.39072086176180126,0.4842481,19.668085,0.36722946,0.038816452,0.328413,,,VARIABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.048229914840058265
1236249612521113600,222.45372738817665,17.25478153848595,3.7451307924013655,0.15103775,0.7758437918116892,0.16527179,-45.48843493503905,0.13321573,18.18285,2.8014812,1.5842819,1.2171993,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.049251357534767
1236249543801635968,222.4611162773294,17.246777018378264,0.6416428823283719,0.049865093,-3.2492083964783367,0.061091732,-9.167892822960182,0.049877793,16.19735,0.95760155,0.39827156,0.55933,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.051609997578961
1236250437154836992,222.43633365017905,17.27658122568753,1.3146434499972008,0.4678621,-2.7269212313785474,0.62885374,-6.191952434135888,0.4569203,20.002932,2.244238,1.073,1.171238,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.0516483661210788
1236249642590829440,222.5046184068864,17.241583206082158,3.7541430372775135,1.3881475,5.710247292692562,1.6210474,-10.640071123597082,1.2531145,20.571709,1.4297581,0.55791664,0.87184143,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.05232410309397854
1236274656475207552,222.46591688603675,17.341464483821742,0.06981541368709053,0.41798812,-3.8254083034260815,0.47271612,-5.954657055273639,0.42826587,19.726751,2.0247746,0.99515915,1.0296154,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.05429455057504718
1236249608225893888,222.4411165919399,17.25994609723355,,,,,,,21.090258,1.486414,-1.0188026,2.5052166,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.054857344101454174
